Company,Rating,Location,Employee_Size,Industry,Review
KPIT Technologies,3.9,Indore,5001 to 10000,Information Technology Support Services,4T
Slide Inc,4.3,Indore,51 to 200,Internet & Web Services,982
Microsoft,4.3,Indore,10000+,Computer Hardware Development,50.9T
Tech Mahindra,3.6,Indore,10000+,Information Technology Support Services,32.9T
HCLTech,3.7,Indore,10000+,Computer Hardware Development,41.9T
Tata Consultancy Services (North America),3.8,Indore,10000+,Information Technology Support Services,9.3T
Zensar Technologies,3.9,Indore,5001 to 10000,Information Technology Support Services,4.4T
DONE by NONE,4.0,Indore,1 to 50,Computer Hardware Development,4.1T
Amdocs,4.0,Indore,10000+,Enterprise Software & Network Solutions,10.9T
Persistent Systems,3.9,Indore,10000+,Information Technology Support Services,6.1T
InfoBeans,4.0,Indore,501 to 1000,Information Technology Support Services,494
Flipkart,4.0,Indore,10000+,Internet & Web Services,5.2T
CarDekho,4.1,Indore,1001 to 5000,Internet & Web Services,628
Course Hero,4.2,Indore,201 to 500,Internet & Web Services,1.5T
Walmart Global Tech,3.9,Indore,1001 to 5000,Enterprise Software & Network Solutions,2.4T
Mastek,3.6,Indore,1001 to 5000,Information Technology Support Services,1.1T
Teamware Solutions,4.5,Indore,1001 to 5000,Information Technology Support Services,1.5T
[24]7.ai,4.2,Indore,10000+,Information Technology Support Services,3.4T
Bellurbis Technologies,4.6,Indore,1 to 50,Information Technology Support Services,98
Fortinet,4.4,Indore,10000+,Computer Hardware Development,2.2T
IIT,4.3,Indore,201 to 500,Information Technology Support Services,250
Pine Labs,3.5,Indore,1001 to 5000,Internet & Web Services,578
HighRadius,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,3T
People Group,4.4,Indore,1001 to 5000,Internet & Web Services,383
Techment,4.0,Indore,51 to 200,Enterprise Software & Network Solutions,82
Tietoevry,4.2,Indore,10000+,Information Technology Support Services,2.9T
Tata Group,3.8,Indore,,Transportation Equipment Manufacturing,484
Greendeck,4.0,Indore,51 to 200,Information Technology Support Services,37
IBS Software,4.0,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.2T
OakTreeCloud,4.8,Indore,51 to 200,Enterprise Software & Network Solutions,34
linkites infotech,4.1,Indore,1 to 50,Information Technology Support Services,62
MongoDB,4.4,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.8T
GEP,3.8,Indore,1001 to 5000,Enterprise Software & Network Solutions,2.2T
Hitachi,3.8,Indore,10000+,Enterprise Software & Network Solutions,2.3T
Domo,4.4,Indore,501 to 1000,Software Development,610
TekLink International,4.0,Indore,51 to 200,Information Technology Support Services,104
NorthOut,3.5,Indore,51 to 200,Information Technology Support Services,34
Affiliated Computer Services,3.7,Indore,10000+,Information Technology Support Services,1.2T
Teksun Microsys,4.0,Indore,51 to 200,Computer Hardware Development,109
Tally Solutions,4.5,Indore,501 to 1000,Computer Hardware Development,508
HTC Global Services,3.6,Indore,10000+,Information Technology Support Services,1.4T
Nenosystems Consulting Services,3.8,Indore,51 to 200,Information Technology Support Services,40
Automation Anywhere,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,914
GenieTalk,4.1,Indore,1 to 50,Information Technology Support Services,47
Netlink,3.5,Indore,1001 to 5000,Information Technology Support Services,339
Carelon Global Solutions,4.0,Indore,10000+,Information Technology Support Services,2T
Zoom Video Communications,3.9,Indore,5001 to 10000,Information Technology Support Services,1.5T
OLX Group,3.7,Indore,5001 to 10000,Internet & Web Services,926
Kyvos Insights,4.1,Indore,201 to 500,Computer Hardware Development,68
Josh Software,3.9,Indore,201 to 500,Computer Hardware Development,282
Lemosys,4.8,Indore,51 to 200,Information Technology Support Services,54
Solugenix Corporation,3.7,Indore,1001 to 5000,Information Technology Support Services,227
HT Media,3.5,Indore,1001 to 5000,Publishing,574
Prakash Software Solutions Pvt Ltd.,4.0,Indore,51 to 200,Software Development,171
Zscaler,4.0,Indore,5001 to 10000,Enterprise Software & Network Solutions,1.9T
American Chase,4.7,Indore,51 to 200,Information Technology Support Services,41
Rishabh Software,4.2,Indore,501 to 1000,Information Technology Support Services,304
Epicor Software,4.2,Indore,1001 to 5000,Software Development,1.9T
Inwizards,4.3,Indore,51 to 200,Software Development,29
Brillio,3.6,Indore,1001 to 5000,Information Technology Support Services,1.7T
Onward Technologies,3.5,Indore,1001 to 5000,Information Technology Support Services,534
Abacus Consultancy Services,3.7,Indore,1 to 50,Information Technology Support Services,36
Wiley Edge,4.0,Indore,501 to 1000,Information Technology Support Services,709
CarWale,4.1,Indore,201 to 500,Internet & Web Services,266
Ramco Systems,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.1T
Meesho,3.5,Indore,501 to 1000,Internet & Web Services,813
Apisero,4.4,Indore,1001 to 5000,Information Technology Support Services,755
Xebia,3.7,Indore,5001 to 10000,Information Technology Support Services,913
Trimble,4.2,Indore,10000+,Computer Hardware Development,1.3T
Uplers,4.2,Indore,501 to 1000,Information Technology Support Services,259
Consagous,3.7,Indore,51 to 200,Computer Hardware Development,40
Gowebbaby,3.6,Indore,1 to 50,Information Technology Support Services,33
Planful,4.4,Indore,201 to 500,Software Development,337
RadixWeb,4.1,Indore,501 to 1000,Information Technology Support Services,325
VideoVerse,4.8,Indore,201 to 500,Information Technology Support Services,42
SoftGrid Computers,4.3,Indore,1 to 50,Information Technology Support Services,48
Josh Technology Group,3.6,Indore,51 to 200,Internet & Web Services,332
NRI FT India,4.0,Indore,201 to 500,Information Technology Support Services,150
Google Cloud,4.1,Indore,,Internet & Web Services,571
AM Webtech,3.7,Indore,1 to 50,Information Technology Support Services,24
Redington Group,4.2,Indore,1001 to 5000,Computer Hardware Development,486
CloudLIMS,4.9,Indore,1 to 50,Information Technology Support Services,46
Rev,3.6,Indore,201 to 500,Enterprise Software & Network Solutions,2.2T
LiveRamp,3.6,Indore,1001 to 5000,Software Development,635
YouTube,4.4,Indore,1001 to 5000,Internet & Web Services,1.4T
Computer Task Group,3.7,Indore,1001 to 5000,Information Technology Support Services,565
Ripple,4.0,Indore,501 to 1000,Enterprise Software & Network Solutions,228
CSG,4.5,Indore,5001 to 10000,Enterprise Software & Network Solutions,1.2T
FirstCry com,3.5,Indore,51 to 200,Computer Hardware Development,536
Anchanto,4.0,Indore,201 to 500,Enterprise Software & Network Solutions,147
Quantive,4.5,Indore,201 to 500,Enterprise Software & Network Solutions,88
Sophos,3.9,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.2T
Databricks,4.5,Indore,5001 to 10000,Computer Hardware Development,1T
Sonata Software,3.8,Indore,5001 to 10000,Software Development,1.5T
BlazeClan Technologies,3.9,Indore,501 to 1000,Information Technology Support Services,228
Upwork,3.8,Indore,501 to 1000,Internet & Web Services,509
Comviva,3.7,Indore,1001 to 5000,Information Technology Support Services,1.4T
FREENOW,3.9,Indore,1001 to 5000,Information Technology Support Services,893
Emorphis,3.8,Indore,51 to 200,Computer Hardware Development,22
MyOperator,4.4,Indore,51 to 200,Enterprise Software & Network Solutions,243
WebKorps Solutions,4.2,Indore,1 to 50,Information Technology Support Services,34
Tatvasoft,4.2,Indore,1001 to 5000,Information Technology Support Services,351
Aptean,3.9,Indore,1001 to 5000,Computer Hardware Development,997
Graffersid,4.8,Indore,51 to 200,Software Development,39
Businessolver,4.0,Indore,1001 to 5000,Information Technology Support Services,451
Remote,3.9,Indore,501 to 1000,Internet & Web Services,351
Celebal Technologies,4.0,Indore,201 to 500,Enterprise Software & Network Solutions,642
Future Focus Infotech,3.7,Indore,501 to 1000,Information Technology Support Services,847
Pramata,4.5,Indore,201 to 500,Software Development,323
ApplyBoard,3.6,Indore,1001 to 5000,Computer Hardware Development,510
Flexton,4.3,Indore,201 to 500,Information Technology Support Services,90
