Company,Rating,Location,Employee_Size,Industry,Review
Trilogy Innovations,3.7,Indore,1 to 50,Computer Hardware Development,100
Valuebound,3.9,Indore,51 to 200,Information Technology Support Services,76
Mahindra First Choice Wheels,3.7,Indore,1001 to 5000,Internet & Web Services,187
AgroStar,4.1,Indore,1001 to 5000,Internet & Web Services,150
ShahSoftSol,3.9,Indore,1 to 50,Information Technology Support Services,15
InApp Information Technologies,4.6,Indore,201 to 500,Information Technology Support Services,117
Karat,3.5,Indore,201 to 500,Internet & Web Services,79
Dollop Infotech,4.7,Indore,1 to 50,Information Technology Support Services,18
SoluLab,3.6,Indore,51 to 200,Information Technology Support Services,199
Wangoes Technology,4.3,Indore,1 to 50,Information Technology Support Services,9
