Company,Rating,Location,Employee_Size,Industry,Review
YES,4.2,Indore,51 to 200,Computer Hardware Development,907
Swiggy,3.9,Indore,10000+,Internet & Web Services,2.3T
Systango,4.3,Indore,201 to 500,Information Technology Support Services,189
WM Universal,4.0,Indore,1001 to 5000,Computer Hardware Development,227
Chegg,4.1,Indore,1001 to 5000,Internet & Web Services,3.1T
Virtusa,3.8,Indore,10000+,Information Technology Support Services,8.6T
GammaStack,4.0,Indore,51 to 200,Information Technology Support Services,164
Zomato,3.9,Indore,1001 to 5000,Internet & Web Services,2.7T
JustDial,3.8,Indore,10000+,Internet & Web Services,2T
Unacademy,3.7,Indore,1001 to 5000,Internet & Web Services,2.2T
