Company,Rating,Location,Employee_Size,Industry,Review
Ziasy Consulting,4.1,Indore,1 to 50,Information Technology Support Services,5
Yash Computech Solution,3.7,Indore,1 to 50,Information Technology Support Services,6
Yespay International,3.9,Indore,51 to 200,Information Technology Support Services,4
IDealogic Software Solution,3.6,Indore,1 to 50,Information Technology Support Services,2
Strumsoft,4.4,Indore,1 to 50,Computer Hardware Development,6
Vsple Technologies,5.0,Indore,1 to 50,Software Development,2
Gatesix,4.0,Indore,,Accounting & Tax,2
CosmostakeR,4.7,Indore,,Information Technology Support Services,3
Bezoar,3.5,Indore,1 to 50,Enterprise Software & Network Solutions,4
App Sphere,4.7,Indore,1 to 50,Information Technology Support Services,4
