Company,Rating,Location,Employee_Size,Industry,Review
Microsoft,4.3,Indore,10000+,Computer Hardware Development,50.9T
Tech Mahindra,3.6,Indore,10000+,Information Technology Support Services,32.9T
HCLTech,3.7,Indore,10000+,Computer Hardware Development,41.9T
Tata Consultancy Services (North America),3.8,Indore,10000+,Information Technology Support Services,9.3T
Zensar Technologies,3.9,Indore,5001 to 10000,Information Technology Support Services,4.4T
DONE by NONE,4.0,Indore,1 to 50,Computer Hardware Development,4.1T
Amdocs,4.0,Indore,10000+,Enterprise Software & Network Solutions,10.9T
Persistent Systems,3.9,Indore,10000+,Information Technology Support Services,6.1T
InfoBeans,4.0,Indore,501 to 1000,Information Technology Support Services,494
Flipkart,4.0,Indore,10000+,Internet & Web Services,5.2T
