Company,Rating,Location,Employee_Size,Industry,Review
Globant,4.3,Indore,10000+,Software Development,7.8T
HotWax Systems,3.7,Indore,51 to 200,Enterprise Software & Network Solutions,127
Intel Corporation,4.1,Indore,10000+,Computer Hardware Development,29.8T
UST,4.0,Indore,10000+,Information Technology Support Services,7.8T
Adobe,4.4,Indore,10000+,Computer Hardware Development,9.2T
Honeywell,4.0,Indore,10000+,Computer Hardware Development,20.8T
Conneqt Business Solutions,4.1,Indore,10000+,Information Technology Support Services,990
IndiaMART,3.7,Indore,1001 to 5000,Internet & Web Services,2.2T
Capgemini Engineering,3.7,Indore,10000+,Information Technology Support Services,12.4T
Myntra,4.1,Indore,1001 to 5000,Internet & Web Services,1.5T
