Company,Rating,Location,Employee_Size,Industry,Review
Arbutus Infotech,3.6,Indore,1 to 50,Information Technology Support Services,3
BlueWebSpark,5.0,Indore,1 to 50,Information Technology Support Services,5
i-Softzone,4.1,Indore,51 to 200,Computer Hardware Development,6
SoftOps Technologies,5.0,Indore,1 to 50,Software Development,3
Aryush Infotech,4.1,Indore,51 to 200,Information Technology Support Services,5
iDice,4.7,Indore,1 to 50,Information Technology Support Services,4
Gamma Networks,5.0,Indore,1 to 50,Enterprise Software & Network Solutions,5
Aaditya Technologies,3.5,Indore,1 to 50,Information Technology Support Services,8
Cyzap,4.6,Indore,,Information Technology Support Services,5
Bingage,4.8,Indore,1 to 50,Computer Hardware Development,6
