Company,Rating,Location,Employee_Size,Industry,Review
Hi-Tech Informatics,4.1,Indore,201 to 500,Information Technology Support Services,40
Blu Cocoon Digital,4.6,Indore,51 to 200,Information Technology Support Services,58
Quazma Techno Solutions,4.4,Indore,1 to 50,Information Technology Support Services,14
The Design Institute,4.6,Indore,1 to 50,Information Technology Support Services,8
Intentwise,4.7,Indore,51 to 200,Internet & Web Services,53
Kartik Infotech,4.1,Indore,1 to 50,Information Technology Support Services,51
TechCoopers,4.1,Indore,1 to 50,Information Technology Support Services,9
Avalon Solution,3.7,Indore,51 to 200,Computer Hardware Development,9
Infobean,4.6,Indore,1 to 50,Information Technology Support Services,3
Microlink Solution,3.6,Indore,201 to 500,Information Technology Support Services,51
