Company,Rating,Location,Employee_Size,Industry,Review
CARS24.com,4.1,Indore,1001 to 5000,Internet & Web Services,1.2T
Robert Bosch,4.3,Indore,10000+,Computer Hardware Development,15.6T
NeoSOFT,4.2,Indore,1001 to 5000,Information Technology Support Services,1.4T
Coforge,3.6,Indore,10000+,Information Technology Support Services,5.9T
Pepcus,4.9,Indore,51 to 200,Information Technology Support Services,73
Tudip Technologies,3.5,Indore,201 to 500,Information Technology Support Services,376
Webgility,3.5,Indore,51 to 200,Software Development,121
Intellicus Technologies,4.6,Indore,201 to 500,Computer Hardware Development,165
Siya Tech Ventures,4.2,Indore,51 to 200,Information Technology Support Services,72
EPAM Systems,4.2,Indore,10000+,Information Technology Support Services,8.9T
