Company,Rating,Location,Employee_Size,Industry,Review
Uber,4.3,Indore,10000+,Internet & Web Services,25.5T
Wipro Digital,3.7,Indore,5001 to 10000,Information Technology Support Services,1T
OpenText,3.6,Indore,10000+,Enterprise Software & Network Solutions,4T
Zoho,4.5,Indore,201 to 500,Computer Hardware Development,3.6T
KPIT Technologies,3.8,Indore,5001 to 10000,Information Technology Support Services,3.8T
Incedo,3.9,Indore,1001 to 5000,Information Technology Support Services,1.4T
NSEIT,3.7,Indore,1001 to 5000,Information Technology Support Services,725
Slide Inc,4.4,Indore,51 to 200,Internet & Web Services,945
Protonshub Technologies,4.5,Indore,51 to 200,Information Technology Support Services,62
Capillary Technologies,4.0,Indore,501 to 1000,Enterprise Software & Network Solutions,513
