Company,Rating,Location,Employee_Size,Industry,Review
GGK Tech,3.8,Indore,501 to 1000,Information Technology Support Services,419
IVL Global,3.8,Indore,501 to 1000,Information Technology Support Services,167
Uneecops Technologies,4.2,Indore,201 to 500,Information Technology Support Services,267
Qualwebs,4.3,Indore,1 to 50,Information Technology Support Services,24
Acer Group,3.9,Indore,5001 to 10000,Computer Hardware Development,492
CMS Info Systems,3.7,Indore,1001 to 5000,Computer Hardware Development,291
Quick Heal,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,545
EPIC Information Solutions,3.5,Indore,51 to 200,Computer Hardware Development,56
Apps Associates,4.1,Indore,1001 to 5000,Information Technology Support Services,295
InnovationM,4.2,Indore,201 to 500,Computer Hardware Development,282
