Company,Rating,Location,Employee_Size,Industry,Review
IntelliaTech Solutions,4.3,Indore,1 to 50,Information Technology Support Services,9
Genesis Technologies,4.4,Indore,51 to 200,Information Technology Support Services,97
iGlobal Impact,4.4,Indore,51 to 200,Information Technology Support Services,71
Pataa,3.8,Indore,1 to 50,Information Technology Support Services,6
Developerprogram.com,3.5,Indore,1 to 50,Information Technology Support Services,20
nLeague Services,3.8,Indore,1 to 50,Information Technology Support Services,9
Teengineers WebApps,4.7,Indore,1 to 50,Software Development,4
Ubertal,3.7,Indore,,Information Technology Support Services,18
TecStub,4.4,Indore,51 to 200,Software Development,42
eLEOPARD Design Studios,4.6,Indore,1 to 50,Information Technology Support Services,14
