Company,Rating,Location,Employee_Size,Industry,Review
Cybage Software,4.0,Indore,5001 to 10000,Information Technology Support Services,3.7T
PhonePe,4.1,Indore,1001 to 5000,Internet & Web Services,784
ConsultAdd,3.9,Indore,51 to 200,Information Technology Support Services,319
Canopus Infosystems,4.5,Indore,51 to 200,Information Technology Support Services,100
Snapdeal,4.2,Indore,501 to 1000,Internet & Web Services,1.7T
NTT DATA,3.9,Indore,10000+,Information Technology Support Services,14.6T
Einfochips,3.5,Indore,1001 to 5000,Information Technology Support Services,1T
Info Edge,4.0,Indore,5001 to 10000,Internet & Web Services,1.6T
BA Continuum India,4.2,Indore,5001 to 10000,Information Technology Support Services,2.2T
Kyndryl,3.8,Indore,10000+,Information Technology Support Services,2.9T
