Company,Rating,Location,Employee_Size,Industry,Review
Proctur,4.3,Indore,1 to 50,Information Technology Support Services,73
Nectar Infotel Solutions,3.8,Indore,51 to 200,Information Technology Support Services,51
AJACKUS,4.8,Indore,51 to 200,Information Technology Support Services,74
Corecard Software,3.5,Indore,501 to 1000,Information Technology Support Services,77
InfoCentroid Software Solutions,4.1,Indore,1 to 50,Computer Hardware Development,16
Freshersworld.com,4.0,Indore,51 to 200,Internet & Web Services,49
Verve System,4.4,Indore,51 to 200,Information Technology Support Services,65
Kreeti Technologies,3.9,Indore,1 to 50,Computer Hardware Development,57
Genuine Soft Technologies,4.1,Indore,1 to 50,Computer Hardware Development,9
Conative IT Solutions,5.0,Indore,1 to 50,Internet & Web Services,7
