Company,Rating,Location,Employee_Size,Industry,Review
BPO Systems,3.9,Indore,1 to 50,Information Technology Support Services,54
F5 Buddy,4.9,Indore,1 to 50,Information Technology Support Services,19
COVETUS,3.5,Indore,51 to 200,Information Technology Support Services,21
Eclat Infotech,3.6,Indore,1 to 50,Computer Hardware Development,24
GGK Tech,3.7,Indore,501 to 1000,Information Technology Support Services,418
Sankalp Semiconductor,3.7,Indore,501 to 1000,Information Technology Support Services,299
SentinelOne ,4.8,Indore,1001 to 5000,Enterprise Software & Network Solutions,432
Vena Solutions,4.5,Indore,501 to 1000,Software Development,255
6Degrees IT,4.2,Indore,51 to 200,Information Technology Support Services,19
Groww,4.2,Indore,501 to 1000,Internet & Web Services,236
