Company,Rating,Location,Employee_Size,Industry,Review
Databricks,4.5,Indore,5001 to 10000,Computer Hardware Development,1T
Sonata Software,3.8,Indore,5001 to 10000,Software Development,1.5T
BlazeClan Technologies,3.9,Indore,501 to 1000,Information Technology Support Services,228
Upwork,3.8,Indore,501 to 1000,Internet & Web Services,509
Comviva,3.7,Indore,1001 to 5000,Information Technology Support Services,1.4T
FREENOW,3.9,Indore,1001 to 5000,Information Technology Support Services,893
Emorphis,3.8,Indore,51 to 200,Computer Hardware Development,22
MyOperator,4.4,Indore,51 to 200,Enterprise Software & Network Solutions,243
WebKorps Solutions,4.2,Indore,1 to 50,Information Technology Support Services,34
Tatvasoft,4.2,Indore,1001 to 5000,Information Technology Support Services,351
