Company,Rating,Location,Employee_Size,Industry,Review
Happiest Minds Technologies,4.2,Indore,5001 to 10000,Information Technology Support Services,1.8T
LTIMindtree,3.6,Indore,10000+,Information Technology Support Services,1.8T
ServiceNow,4.4,Indore,10000+,Enterprise Software & Network Solutions,4.1T
Ignatiuz Software,3.6,Indore,51 to 200,Information Technology Support Services,76
CDN Software Solutions,4.0,Indore,201 to 500,Information Technology Support Services,75
Hewlett Packard Enterprise | HPE,4.2,Indore,10000+,Information Technology Support Services,17.2T
Thomson Reuters,4.3,Indore,10000+,Enterprise Software & Network Solutions,15.3T
Mango IT Solutions,4.1,Indore,51 to 200,Software Development,60
Ktek Resourcing,3.6,Indore,201 to 500,Information Technology Support Services,95
Daffodil Software,3.8,Indore,501 to 1000,Information Technology Support Services,540
