Company,Rating,Location,Employee_Size,Industry,Review
GEP,3.8,Indore,1001 to 5000,Enterprise Software & Network Solutions,2.2T
Hitachi,3.8,Indore,10000+,Enterprise Software & Network Solutions,2.3T
Domo,4.4,Indore,501 to 1000,Software Development,610
TekLink International,4.0,Indore,51 to 200,Information Technology Support Services,104
NorthOut,3.5,Indore,51 to 200,Information Technology Support Services,34
Affiliated Computer Services,3.7,Indore,10000+,Information Technology Support Services,1.2T
Teksun Microsys,4.0,Indore,51 to 200,Computer Hardware Development,109
Tally Solutions,4.5,Indore,501 to 1000,Computer Hardware Development,508
HTC Global Services,3.6,Indore,10000+,Information Technology Support Services,1.4T
Nenosystems Consulting Services,3.8,Indore,51 to 200,Information Technology Support Services,40
