Company,Rating,Location,Employee_Size,Industry,Review
Thoughtworks,4.3,Indore,5001 to 10000,Information Technology Support Services,4T
Protonshub Technologies,4.5,Indore,51 to 200,Information Technology Support Services,64
Infor,4.0,Indore,10000+,Enterprise Software & Network Solutions,4.7T
Raja Software Labs,3.8,Indore,51 to 200,Information Technology Support Services,607
OpenText,3.6,Indore,10000+,Enterprise Software & Network Solutions,4.2T
Zoho,4.5,Indore,201 to 500,Computer Hardware Development,3.9T
Software Developers,4.2,Indore,51 to 200,Computer Hardware Development,202
NSEIT,3.6,Indore,1001 to 5000,Information Technology Support Services,797
KPIT Technologies,3.9,Indore,5001 to 10000,Information Technology Support Services,4T
Slide Inc,4.3,Indore,51 to 200,Internet & Web Services,982
