Company,Rating,Location,Employee_Size,Industry,Review
Infowind Technologies,4.4,Indore,1 to 50,Information Technology Support Services,23
clickworker,3.5,Indore,1 to 50,Internet & Web Services,339
Teamwork,3.8,Indore,201 to 500,Computer Hardware Development,192
ABM Knowledgeware,3.6,Indore,501 to 1000,Information Technology Support Services,147
Sedna Consulting Group,4.2,Indore,1 to 50,Computer Hardware Development,22
FreeCharge,3.7,Indore,501 to 1000,Internet & Web Services,298
Cibirix,4.2,Indore,1 to 50,Information Technology Support Services,31
Kumaran Systems,3.8,Indore,501 to 1000,Computer Hardware Development,287
Dailyhunt,3.7,Indore,501 to 1000,Internet & Web Services,306
Verdantis,3.9,Indore,51 to 200,Information Technology Support Services,39
