Company,Rating,Location,Employee_Size,Industry,Review
Flipkart,4.0,Indore,10000+,Internet & Web Services,4.9T
InfoBeans,4.1,Indore,501 to 1000,Information Technology Support Services,470
ValueLabs,4.3,Indore,5001 to 10000,Information Technology Support Services,2.6T
Mphasis,3.6,Indore,10000+,Information Technology Support Services,8.6T
Persistent Systems,4.0,Indore,10000+,Information Technology Support Services,5.7T
Rakuten,3.7,Indore,10000+,Internet & Web Services,2.7T
Cyber Infrastructure (CIS),3.7,Indore,1001 to 5000,Information Technology Support Services,294
Cisco Systems,4.4,Indore,10000+,Enterprise Software & Network Solutions,31.1T
Salesforce,4.4,Indore,10000+,Enterprise Software & Network Solutions,16.6T
Atos-Syntel,3.6,Indore,10000+,Information Technology Support Services,7.5T
