Company,Rating,Location,Employee_Size,Industry,Review
PI Technologies,4.4,Indore,1 to 50,Computer Hardware Development,3
Mystic Mantra,4.6,Indore,1 to 50,Information Technology Support Services,2
REDVision Technologies,4.4,Indore,1 to 50,Computer Hardware Development,21
Media Path,3.5,Indore,1 to 50,Computer Hardware Development,3
Kylient Software Solutions,5.0,Indore,1 to 50,Information Technology Support Services,3
Ziasy Consulting,4.1,Indore,1 to 50,Information Technology Support Services,5
Yash Computech Solution,3.7,Indore,1 to 50,Information Technology Support Services,6
Yespay International,3.9,Indore,51 to 200,Information Technology Support Services,4
IDealogic Software Solution,3.6,Indore,1 to 50,Information Technology Support Services,2
Techinfini,4.2,Indore,51 to 200,Information Technology Support Services,23
