Company,Rating,Location,Employee_Size,Industry,Review
Kartik Infotech,4.1,Indore,1 to 50,Information Technology Support Services,52
The Modern Data,4.8,Indore,51 to 200,Software Development,9
INDUS Technology,4.1,Indore,201 to 500,Information Technology Support Services,41
eZdia,4.4,Indore,51 to 200,Enterprise Software & Network Solutions,64
Payara Services,4.1,Indore,1 to 50,Enterprise Software & Network Solutions,36
Infobean,4.6,Indore,1 to 50,Information Technology Support Services,3
Comvision,4.5,Indore,51 to 200,Information Technology Support Services,83
Locad,3.6,Indore,51 to 200,Internet & Web Services,32
CodeClause,3.7,Indore,1 to 50,Software Development,58
BitCot,4.2,Indore,1 to 50,Information Technology Support Services,13
