Company,Rating,Location,Employee_Size,Industry,Review
Calsoft,3.5,Indore,1001 to 5000,Enterprise Software & Network Solutions,604
Vatsal Technosoft,4.4,Indore,1001 to 5000,Information Technology Support Services,479
Civica,4.2,Indore,5001 to 10000,Computer Hardware Development,1.2T
Uber,4.2,Indore,10000+,Internet & Web Services,26.8T
Indeed,4.2,Indore,10000+,Internet & Web Services,3.8T
FICO,4.1,Indore,1001 to 5000,Computer Hardware Development,1.5T
Tata Communications,4.1,Indore,5001 to 10000,"Cable, Internet & Telephone Providers",3.3T
Citrix,3.6,Indore,5001 to 10000,Enterprise Software & Network Solutions,4.6T
BestPeers Infosystem,4.1,Indore,51 to 200,Information Technology Support Services,66
Ingram Micro,3.9,Indore,10000+,Computer Hardware Development,3.6T
