Company,Rating,Location,Employee_Size,Industry,Review
Mad Street Den Systems,4.2,Indore,201 to 500,Enterprise Software & Network Solutions,107
ITcompany,4.3,Indore,201 to 500,Computer Hardware Development,102
Shiksha Infotech Ltd,3.8,Indore,201 to 500,Information Technology Support Services,90
Tech Prescient,4.6,Indore,51 to 200,Information Technology Support Services,111
Enzigma,4.0,Indore,51 to 200,Software Development,84
Dash Technologies,4.4,Indore,501 to 1000,Information Technology Support Services,135
OptimHire,3.5,Indore,51 to 200,Information Technology Support Services,80
WebMobril Technologies,4.5,Indore,201 to 500,Information Technology Support Services,61
imocha,4.7,Indore,51 to 200,Internet & Web Services,190
Endeavour Software Technologies,3.6,Indore,51 to 200,Computer Hardware Development,72
