Company,Rating,Location,Employee_Size,Industry,Review
Gemini Solutions,3.9,Indore,1001 to 5000,Information Technology Support Services,633
Eternus Solutions,3.7,Indore,201 to 500,Information Technology Support Services,179
Dineout,3.9,Indore,501 to 1000,Internet & Web Services,224
Applications Software Technology,3.7,Indore,501 to 1000,Information Technology Support Services,271
TCS e-Serve International,3.8,Indore,5001 to 10000,Information Technology Support Services,410
Azilen Technologies,3.8,Indore,201 to 500,Software Development,158
Rupeek ,3.8,Indore,201 to 500,Internet & Web Services,355
GirnarSoft,3.9,Indore,1001 to 5000,Computer Hardware Development,385
CTS,3.8,Indore,51 to 200,Information Technology Support Services,398
ShareChat,3.8,Indore,1001 to 5000,Internet & Web Services,514
