Company,Rating,Location,Employee_Size,Industry,Review
[24]7.ai,4.2,Indore,10000+,Information Technology Support Services,3.2T
People Group,4.5,Indore,1001 to 5000,Internet & Web Services,377
IIT,4.3,Indore,201 to 500,Information Technology Support Services,249
Bellurbis Technologies,4.5,Indore,1 to 50,Information Technology Support Services,98
STL - Sterlite Technologies Limited,3.5,Indore,1001 to 5000,Enterprise Software & Network Solutions,901
Fortinet,4.4,Indore,10000+,Computer Hardware Development,2.1T
TATA ELXSI,4.0,Indore,5001 to 10000,Information Technology Support Services,2.6T
HighRadius,3.7,Indore,1001 to 5000,Enterprise Software & Network Solutions,2.7T
Pine Labs,3.6,Indore,1001 to 5000,Internet & Web Services,526
IBS Software,4.0,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.2T
