Company,Rating,Location,Employee_Size,Industry,Review
Coditation Systems,3.9,Indore,51 to 200,Information Technology Support Services,49
Integrated Wireless Soluions,3.6,Indore,1001 to 5000,Information Technology Support Services,65
Quazma Techno Solutions,4.4,Indore,1 to 50,Information Technology Support Services,15
Hi-Tech Informatics,4.2,Indore,201 to 500,Information Technology Support Services,39
Nibav,4.2,Indore,1 to 50,Computer Hardware Development,60
The Design Institute,4.6,Indore,1 to 50,Information Technology Support Services,8
Intentwise,4.8,Indore,51 to 200,Internet & Web Services,59
PeopleGrove,4.8,Indore,1 to 50,Internet & Web Services,19
Nayan,4.0,Indore,1 to 50,Information Technology Support Services,49
Kaara Info Systems,4.3,Indore,51 to 200,Information Technology Support Services,53
