Company,Rating,Location,Employee_Size,Industry,Review
Times Business Solutions,3.6,Indore,501 to 1000,Internet & Web Services,112
Teqlawn,4.9,Indore,1 to 50,Software Development,14
Ayush Software,3.8,Indore,1 to 50,Information Technology Support Services,98
BatchService,4.6,Indore,51 to 200,Enterprise Software & Network Solutions,177
Talentsoft,3.7,Indore,501 to 1000,Enterprise Software & Network Solutions,162
Qualtech Consultants Pvt.,4.5,Indore,51 to 200,Information Technology Support Services,341
Akshaya,4.0,Indore,51 to 200,Information Technology Support Services,145
Synsoft Global,4.1,Indore,51 to 200,Software Development,24
MindCrew Technologies,4.5,Indore,1 to 50,Information Technology Support Services,22
Walking Tree,4.4,Indore,201 to 500,Information Technology Support Services,193
