Company,Rating,Location,Employee_Size,Industry,Review
SmartSoC Solutions,3.8,Indore,501 to 1000,Computer Hardware Development,121
ContentWriters,4.5,Indore,,Internet & Web Services,47
Diyar United,4.1,Indore,501 to 1000,Enterprise Software & Network Solutions,140
Crossworkers,3.8,Indore,51 to 200,Information Technology Support Services,115
CitrusLeaf,4.4,Indore,1 to 50,Information Technology Support Services,24
Lauren Information Technologies,4.5,Indore,501 to 1000,Information Technology Support Services,119
EncoreSky Technologies,4.9,Indore,1 to 50,Information Technology Support Services,14
Appin Technology Lab,3.5,Indore,1 to 50,Accounting & Tax,48
Affimintus,3.8,Indore,1 to 50,Information Technology Support Services,14
iASYS,3.8,Indore,51 to 200,Enterprise Software & Network Solutions,87
