Company,Rating,Location,Employee_Size,Industry,Review
Blu Cocoon Digital,4.5,Indore,51 to 200,Information Technology Support Services,65
RISHI,4.2,Indore,201 to 500,Information Technology Support Services,44
BootNext,4.8,Indore,51 to 200,Information Technology Support Services,10
ByteCipher Private Limited,4.7,Indore,1 to 50,Information Technology Support Services,9
Zenith Software,3.6,Indore,1 to 50,Information Technology Support Services,15
Ultria,3.8,Indore,,Software Development,60
Microlink Solution,3.6,Indore,201 to 500,Information Technology Support Services,63
The First Years,4.2,Indore,201 to 500,Consumer Product Manufacturing,33
ThinkTech Computers,3.6,Indore,1 to 50,Information Technology Support Services,50
Imenso Software,4.7,Indore,51 to 200,Information Technology Support Services,29
