Company,Rating,Location,Employee_Size,Industry,Review
HCL Infosystems,4.0,Indore,5001 to 10000,Computer Hardware Development,1.4T
Bacelor,3.8,Indore,501 to 1000,Information Technology Support Services,83
Xoriant,3.8,Indore,5001 to 10000,Information Technology Support Services,1.7T
Infogain,4.0,Indore,5001 to 10000,Information Technology Support Services,2.5T
Freshworks,3.9,Indore,5001 to 10000,Enterprise Software & Network Solutions,1.7T
SelfMade,4.4,Indore,1 to 50,Internet & Web Services,569
LinkedIn,4.4,Indore,10000+,Internet & Web Services,6.4T
Systematix Infotech,4.0,Indore,201 to 500,Information Technology Support Services,98
Galaxy Weblinks,4.1,Indore,201 to 500,Information Technology Support Services,96
Cybage Software,3.9,Indore,5001 to 10000,Information Technology Support Services,3.6T
