Company,Rating,Location,Employee_Size,Industry,Review
LinkedIn,4.3,Indore,10000+,Internet & Web Services,6.7T
HCL Infosystems,4.2,Indore,5001 to 10000,Computer Hardware Development,1.5T
Nielsen,3.7,Indore,10000+,Enterprise Software & Network Solutions,8.8T
Bitwise,4.1,Indore,1001 to 5000,Information Technology Support Services,1T
Reliance Communications,3.3,Indore,10000+,Telecommunications Services,1T
Appen,3.7,Indore,1001 to 5000,Information Technology Support Services,5.2T
MakeMyTrip,4.1,Indore,1001 to 5000,Internet & Web Services,1.7T
Galaxy Weblinks,3.9,Indore,201 to 500,Information Technology Support Services,103
Atos,3.7,Indore,10000+,Information Technology Support Services,12.5T
Sumeru,3.9,Indore,201 to 500,Information Technology Support Services,211
