Company,Rating,Location,Employee_Size,Industry,Review
Aptean,3.9,Indore,1001 to 5000,Computer Hardware Development,997
Graffersid,4.8,Indore,51 to 200,Software Development,39
Businessolver,4.0,Indore,1001 to 5000,Information Technology Support Services,451
Remote,3.9,Indore,501 to 1000,Internet & Web Services,351
Celebal Technologies,4.0,Indore,201 to 500,Enterprise Software & Network Solutions,642
Future Focus Infotech,3.7,Indore,501 to 1000,Information Technology Support Services,847
Pramata,4.5,Indore,201 to 500,Software Development,323
ApplyBoard,3.6,Indore,1001 to 5000,Computer Hardware Development,510
Flexton,4.3,Indore,201 to 500,Information Technology Support Services,90
Mindpath,4.4,Indore,51 to 200,Information Technology Support Services,32
