Company,Rating,Location,Employee_Size,Industry,Review
Altruist Technologies,4.3,Indore,10000+,Information Technology Support Services,867
Genpact,4.0,Indore,10000+,Information Technology Support Services,21.2T
XYZ,3.8,Indore,1 to 50,Computer Hardware Development,3.5T
Apple,4.2,Indore,10000+,Computer Hardware Development,39.8T
Concentrix,4.2,Indore,10000+,Information Technology Support Services,32T
Atos-Syntel,3.6,Indore,10000+,Information Technology Support Services,7.7T
Deqode,4.1,Indore,201 to 500,Information Technology Support Services,299
Dell Technologies,4.3,Indore,10000+,Information Technology Support Services,34T
Paytm,3.6,Indore,10000+,Internet & Web Services,4T
Hexaware Technologies,3.7,Indore,10000+,Information Technology Support Services,5.3T
