Company,Rating,Location,Employee_Size,Industry,Review
Raja Software Labs,3.8,Indore,51 to 200,Information Technology Support Services,588
Tally Solutions,4.5,Indore,501 to 1000,Computer Hardware Development,489
HTC Global Services,3.6,Indore,10000+,Information Technology Support Services,1.3T
GenieTalk,4.1,Indore,1 to 50,Information Technology Support Services,47
Teksun Microsys,4.1,Indore,51 to 200,Computer Hardware Development,104
linkites infotech,4.2,Indore,1 to 50,Information Technology Support Services,61
Greendeck,4.3,Indore,51 to 200,Information Technology Support Services,34
Netlink,3.5,Indore,1001 to 5000,Information Technology Support Services,330
Automation Anywhere,3.8,Indore,1001 to 5000,Enterprise Software & Network Solutions,866
Lemosys,4.7,Indore,51 to 200,Information Technology Support Services,54
