Company,Rating,Location,Employee_Size,Industry,Review
Myntra,4.1,Indore,1001 to 5000,Internet & Web Services,1.4T
Chapter247,4.6,Indore,1 to 50,Information Technology Support Services,66
EngineerBabu,4.0,Indore,51 to 200,Information Technology Support Services,210
IndiaMART,3.8,Indore,1001 to 5000,Internet & Web Services,2.1T
SAP,4.4,Indore,10000+,Enterprise Software & Network Solutions,27.9T
Iksula,4.2,Indore,501 to 1000,Internet & Web Services,320
Conneqt Business Solutions,3.4,Indore,10000+,Information Technology Support Services,823
Vertisystem,3.9,Indore,51 to 200,Information Technology Support Services,134
Robert Bosch,4.2,Indore,10000+,Computer Hardware Development,14.9T
NCS,3.8,Indore,10000+,Information Technology Support Services,3T
