Company,Rating,Location,Employee_Size,Industry,Review
Robotronix,4.0,Indore,1 to 50,Information Technology Support Services,14
BlackNGreen,3.9,Indore,201 to 500,Internet & Web Services,74
Clecotech International,3.8,Indore,51 to 200,Information Technology Support Services,17
Systos Technology,3.7,Indore,1 to 50,Computer Hardware Development,13
Ishan Technologies,4.4,Indore,1001 to 5000,Internet & Web Services,73
Kunal Infotech,4.5,Indore,1 to 50,Information Technology Support Services,35
ICC,4.2,Indore,1 to 50,Computer Hardware Development,56
Avalon Solution,3.7,Indore,51 to 200,Computer Hardware Development,10
InfoPeople Corporation,4.6,Indore,51 to 200,Information Technology Support Services,58
SHAREit,3.5,Indore,501 to 1000,Information Technology Support Services,69
