Company,Rating,Location,Employee_Size,Industry,Review
iface,4.7,Indore,1 to 50,Information Technology Support Services,23
InKnowTech,4.4,Indore,201 to 500,Information Technology Support Services,259
Grapecity,3.7,Indore,51 to 200,Computer Hardware Development,124
Synsoft Global,4.2,Indore,51 to 200,Software Development,23
Saxon Global,3.9,Indore,201 to 500,Information Technology Support Services,164
Adroit Associates Inc,4.1,Indore,51 to 200,Information Technology Support Services,26
Ipswitch,3.6,Indore,201 to 500,Enterprise Software & Network Solutions,120
FiftyFive Technologies,4.5,Indore,51 to 200,Information Technology Support Services,39
Infoxeron,4.8,Indore,1 to 50,Information Technology Support Services,32
QSS Technosoft,4.0,Indore,201 to 500,Information Technology Support Services,173
