Company,Rating,Location,Employee_Size,Industry,Review
Josh Technology Group,3.9,Indore,51 to 200,Internet & Web Services,314
Redington Group,4.3,Indore,1001 to 5000,Computer Hardware Development,456
CSG,4.4,Indore,5001 to 10000,Enterprise Software & Network Solutions,1.1T
Sophos,3.9,Indore,1001 to 5000,Enterprise Software & Network Solutions,1.2T
Ripple,4.1,Indore,501 to 1000,Enterprise Software & Network Solutions,216
FirstCry com,3.6,Indore,51 to 200,Computer Hardware Development,489
YouTube,4.4,Indore,1001 to 5000,Internet & Web Services,1.3T
BlazeClan Technologies,3.9,Indore,501 to 1000,Information Technology Support Services,214
Databricks,4.5,Indore,1001 to 5000,Computer Hardware Development,931
Comviva,3.7,Indore,1001 to 5000,Information Technology Support Services,1.3T
