Company,Rating,Location,Employee_Size,Industry,Review
Intelliswift,4.2,Indore,1001 to 5000,Software Development,581
Tatvasoft,4.1,Indore,1001 to 5000,Information Technology Support Services,314
Vista IT Solutions (India),4.4,Indore,51 to 200,Enterprise Software & Network Solutions,38
Team Computers,4.2,Indore,1001 to 5000,Information Technology Support Services,1.1T
Remote,3.9,Indore,501 to 1000,Internet & Web Services,307
Controlf5.in,4.7,Indore,1 to 50,Internet & Web Services,37
Pramata,4.4,Indore,201 to 500,Software Development,299
CBNITS,4.7,Indore,201 to 500,Information Technology Support Services,198
Capital Numbers,4.7,Indore,201 to 500,Information Technology Support Services,663
Graffersid,4.9,Indore,1 to 50,Information Technology Support Services,35
