Company,Rating,Location,Employee_Size,Industry,Review
Intelliswift,4.1,Indore,1001 to 5000,Software Development,606
CBNITS,4.7,Indore,201 to 500,Information Technology Support Services,200
Capital Numbers,4.7,Indore,201 to 500,Information Technology Support Services,707
Team Computers,4.1,Indore,1001 to 5000,Information Technology Support Services,1.1T
Vista IT Solutions (India),4.4,Indore,51 to 200,Enterprise Software & Network Solutions,38
Fusion Global Business Solutions,4.3,Indore,201 to 500,Enterprise Software & Network Solutions,34
Controlf5.in,4.7,Indore,1 to 50,Internet & Web Services,37
Turing,4.0,Indore,501 to 1000,Software Development,554
Unthinkable,3.8,Indore,51 to 200,Information Technology Support Services,273
VVDN Technologies ,3.5,Indore,1001 to 5000,Information Technology Support Services,872
