Company,Rating,Location,Employee_Size,Industry,Review
ValueMomentum,3.7,Indore,1001 to 5000,Information Technology Support Services,819
Instacart,3.6,Indore,1001 to 5000,Internet & Web Services,6.6T
SynergyTop,4.7,Indore,51 to 200,Software Development,77
Indra,3.8,Indore,10000+,Information Technology Support Services,5.2T
Tech Data,3.6,Indore,10000+,Enterprise Software & Network Solutions,1.9T
ShopKirana E-Trading,3.9,Indore,201 to 500,Internet & Web Services,71
Birlasoft,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,3.1T
Collegedunia,3.5,Indore,201 to 500,Internet & Web Services,1.1T
Fujitsu,3.7,Indore,10000+,Enterprise Software & Network Solutions,6.2T
L&T Technology Services,3.5,Indore,10000+,Information Technology Support Services,5.3T
