Company,Rating,Location,Employee_Size,Industry,Review
HT Media,3.5,Indore,1001 to 5000,Publishing,574
Prakash Software Solutions Pvt Ltd.,4.0,Indore,51 to 200,Software Development,171
Zscaler,4.0,Indore,5001 to 10000,Enterprise Software & Network Solutions,1.9T
American Chase,4.7,Indore,51 to 200,Information Technology Support Services,41
Rishabh Software,4.2,Indore,501 to 1000,Information Technology Support Services,304
Epicor Software,4.2,Indore,1001 to 5000,Software Development,1.9T
Inwizards,4.3,Indore,51 to 200,Software Development,29
Brillio,3.6,Indore,1001 to 5000,Information Technology Support Services,1.7T
Onward Technologies,3.5,Indore,1001 to 5000,Information Technology Support Services,534
Abacus Consultancy Services,3.7,Indore,1 to 50,Information Technology Support Services,36
