Company,Rating,Location,Employee_Size,Industry,Review
Ketto,4.6,Indore,1 to 50,Internet & Web Services,300
India Infotech,4.1,Indore,51 to 200,Information Technology Support Services,32
Sedna Consulting Group,4.2,Indore,1 to 50,Computer Hardware Development,22
clickworker,3.5,Indore,1 to 50,Internet & Web Services,326
Workpulse,4.5,Indore,1 to 50,Enterprise Software & Network Solutions,27
Appointy,4.2,Indore,51 to 200,Enterprise Software & Network Solutions,86
Rupeek ,3.8,Indore,201 to 500,Internet & Web Services,337
Shorewise Consulting,4.3,Indore,501 to 1000,Information Technology Support Services,96
Turgajo,4.5,Indore,1 to 50,Computer Hardware Development,19
Verdantis,3.9,Indore,51 to 200,Information Technology Support Services,38
